code,description
103955-1,KRAS Somatic mut analysis Tumor
103957-7,Neuromuscular multigene analysis Spec
10397-8,HBV Ig Gvn Vol
10398-6,I Ag RBC BPU Ql
10399-4,I Ag RBC Donr Ql
1040-5,G Ag RBC Donr Ql
104031-0,Altered elimination
10406-7,little i Ag RBC BPU Ql
10407-5,little i Ag RBC Donr Ql
104074-0,Gas & Lactate panel
104075-7,Gas & Lactate panel
104076-5,Basic metabolic & hemoglobin & hematocrit panel
10408-3,little i Ag RBC Ql
1041-3,G Ag RBC Ql
104133-4,Ethanol ExG Ql
10414-1,Trans Albumin Vol Patient
104166-4,Apo E Phenotype Plas LC/MS/MS
104196-1,Creatine/Creat DBS-sRto
104198-7,Kappa LC gene 22q11.22 Rear Spec FISH
104199-5,Kappa LC gene 2p11.2 Rear Spec FISH
104240-7,Histiocytic neoplasm Bld/T
104242-3,T cell lymphoma Bld/T
104260-5,HAVcr-1 Ur Calcn-Rto
104261-3,EDN Ser IA-mCnc
104265-4,Ethanol CtO VFr ExG
104266-2,Immunoglobulins and heavy-light chain panel
104297-7,CYP3A4 gene c.6C>T Bld/T Ql
104322-3,Lymphs Lambda/lymph NFr Mar
104323-1,IDH1+IDH2 Full Mut Anl Bld/T
10434-9,C3 Ag Tiss Ql ImStn
104349-6,B. recurrentis Bld Ql Cult
104409-8,HAV IgG sp1 Titr Ser IA
104410-6,HAV IgG sp2 Titr Ser IA
104412-2,HAV IgM Titr Ser
104413-0,HEV IgG sp1 Titr Ser IA
104414-8,HEV IgG sp2 Titr Ser IA
10443-0,CD43 Ag Tiss Ql ImStn
104451-0,SARS-CoV-2 RNA Resp Ql
104488-2,HNA rprt Doc
10449-7,Glucose 1h p meal SerPl-mCnc
10450-5,Glucose p 10h fast SerPl-mCnc
104533-5,Immunoglobulin light chains.free panel
104547-5,Monocyte and dendritic cell panel
104548-3,Monocytes # Bld FC
104553-3,Microorganism Bld Pos MS.MALDI-TOF
104555-8,Mephobarbital & PHENobarbital panel
10458-8,ALP Plac Ag Tiss Ql ImStn
104596-2,Phenytoin & Phenobarbital panel
104597-0,Glucose BldV Glucomtr-mCnc
104598-8,Glucose BldA Glucomtr-mCnc
104636-6,CGM RptPeriod Est
104637-4,CGM % time RptPeriod Calc
104638-2,Gluc SD/Gluc mean RptPrd NFr In fld calc
104654-9,Calcium BldA-sCnc
104655-6,Glucose BldMV-mCnc
104656-4,Titanium/Creat Ur
10467-9,B2MG AL Ag Tiss Ql ImStn
104678-8,DMA 18:0/C18:0 RBC
104679-6,DMA 18:1 RBC-mCnc
104680-4,DMA 18:0 RBC-mCnc
104708-3,Deprecated Est. average glucose Bld-sCnc
104714-1,HCV RNA SerPl-Log IU
104715-8,HCV RNA SerPl Ql
104721-6,HCV RNA SerPl-aCnc
104724-0,Gp B Strep DNA Spec Ql
104727-3,FLUAV H1 2009 pand RNA Spec Ql
104730-7,FLUAV H3 RNA Spec Ql
104732-3,HIV1 Ab Patrn Ser-Imp
104734-9,B-Hem Strep Spec Ql
104735-6,FLUBV RNA Spec Ql
104738-0,Hgb Stl gastro lower Ql
104739-8,Prot Pattern Ur-Imp
104741-4,HCV Ab s/co SerPl
104755-4,HCV RNA SerPl-Log#
104762-0,HIV1 RNA SerPl-Log#
10478-6,EMBP Ag Tiss Ql ImStn
104781-0,HIV1 RNA # SerPl
104785-1,HBV core IgM SerPl-aCnc
104798-4,Baso Stipl Bld Ql
1048-8,Deprecated H NOS Ag RBC BPU Ql
10480-2,ERA+PGRA Ag Tiss Ql ImStn
104802-4,Variant Lymphs Bld Ql
104805-7,Creat Cl predicted SerPl-vRate
104814-9,LDH1 CFr Ur
104823-0,Medication alt amt
104826-3,Hct VFr.DF Bld Calc
10486-9,Hgb Ag Tiss Ql ImStn
104873-5,Glucose dumping syndrome panel
104874-3,Hct BS VFr Bld Calc
104875-0,Hct 30M p Glc VFr Bld
104876-8,Hct 1h p Glc VFr Bld
104877-6,Hct 1.5h p Glc VFr Bld
104878-4,Hct 2h p Glc VFr Bld
104879-2,Hct 2.5h p Glc VFr Bld
104880-0,Hct 3h p Glc VFr Bld
1049-6,Deprecated H NOS Ag RBC Donr Ql
104936-0,Noninv colon ca RNA+occ bld scrn Stl Q
10495-0,Insulin Ag Tiss Ql ImStn
10497-6,Kappa AL Ag Tiss Ql ImStn
104995-6,HBV Gentyp SerPl Seq
1050-4,Deprecated H NOS Ag RBC Ql
10500-7,Lambda AL Ag Tiss Ql ImStn
105009-5,Cl.reab ren tub/Cl.tot fil MFr Ur+SerPl
105010-3,Folate alpha Ag Tiss ImStn-Imp
105040-0,Hgb BldMV Calc-mCnc
105049-1,PT 2h p 1:1 NP PPP Cont
105053-3,CaOx Cry UrnS Ql Micro
105061-6,S pyogenes speB Spec Ql
105062-4,S pyo DNA Spec Ql
105063-2,S pyo Spec Ql
