code,generic_name,brand_name,dosage_form
0220-4543,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4546,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4547,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4550,SANGUINARIA CANADENSIS ROOT,Sanguinaria canadensis,PELLET
0220-4551,SANGUINARINE NITRATE,SANGUINARINUM NITRICUM,PELLET
0220-4554,SANGUINARINE NITRATE,Sanguinarinum nitricum,PELLET
0220-4555,SANGUINARINE NITRATE,Sanguinarinum nitricum,PELLET
0220-4558,SANTONIN,Santoninum,PELLET
0220-4560,SAPONARIA OFFICINALIS ROOT,SAPONARIA OFFICINALIS,PELLET
0220-4562,SAPONARIA OFFICINALIS ROOT,Saponaria officinalis,PELLET
0220-4563,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4564,SAMBUCUS NIGRA FLOWERING TOP,Sambucus nigra,PELLET
0220-4567,SMILAX ORNATA ROOT,Sarsaparilla,PELLET
0220-4568,SMILAX ORNATA ROOT,Sarsaparilla,PELLET
0220-4571,SMILAX ORNATA ROOT,Sarsaparilla,PELLET
0220-4572,SMILAX ORNATA ROOT,Sarsaparilla,PELLET
0220-4578,SMILAX REGELII ROOT,Sarsaparilla,PELLET
0220-4592,SILICON DIOXIDE,SILICA MARINA,PELLET
0220-4594,DRIMIA MARITIMA BULB,Scilla maritima,PELLET
0220-4595,DRIMIA MARITIMA BULB,SCILLA MARITIMA,PELLET
0220-4596,POLYGALA SENEGA ROOT,SENEGA OFFICINALIS,PELLET
0220-4599,PACKERA AUREA WHOLE,SENECIO AUREUS,PELLET
0220-4600,SCUTELLARIA LATERIFLORA WHOLE,SCUTELLARIA LATERIFLORA,PELLET
0220-4603,SCROPHULARIA NODOSA WHOLE,SCROPHULARIA NODOSA,PELLET
0220-4606,SCROPHULARIA NODOSA,Scrophularia nodosa,PELLET
0220-4607,SCROPHULARIA NODOSA,Scrophularia nodosa,PELLET
0220-4610,SCUTELLARIA LATERIFLORA,Scutellaria lateriflora,PELLET
0220-4611,SCUTELLARIA LATERIFLORA,Scutellaria lateriflora,PELLET
0220-4614,CLAVICEPS PURPUREA SCLEROTIUM,Secale cornutum,PELLET
0220-4615,CLAVICEPS PURPUREA SCLEROTIUM,Secale cornutum,PELLET
0220-4616,CLAVICEPS PURPUREA SCLEROTIUM,Secale cornutum,PELLET
0220-4619,CLAVICEPS PURPUREA SCLEROTIUM,Secale cornutum,PELLET
0220-4620,CLAVICEPS PURPUREA SCLEROTIUM,Secale cornutum,PELLET
0220-4622,SELENIUM,Selenium metallicum,PELLET
0220-4626,SEMPERVIVUM TECTORUM LEAF,Sempervivum tectorum,PELLET
0220-4627,CLAVICEPS PURPUREA SCLEROTIUM,Secale cornutum,PELLET
0220-4628,SELENIUM,Selenium metallicum,PELLET
0220-4630,PACKERA AUREA,Senecio aureus,PELLET
0220-4631,SELENIUM,Selenium metallicum,PELLET
0220-4632,SELENIUM,Selenium metallicum,PELLET
0220-4635,POLYGALA SENEGA ROOT,Senega officinalis,PELLET
0220-4638,POLYGALA SENEGA ROOT,Senega officinalis,PELLET
0220-4639,SELENIUM,Selenium metallicum,PELLET
0220-4640,SELENIUM,Selenium metallicum,PELLET
0220-4642,SENNA LEAF,Senna,PELLET
0220-4643,SENNA LEAF,SENNA,PELLET
0220-4646,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4649,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4650,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4651,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4652,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4653,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4654,SEPIA OFFICINALIS JUICE,SEPIA,PELLET
0220-4657,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4658,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4660,SILICON DIOXIDE,Silica marina,PELLET
0220-4661,SEPIA OFFICINALIS JUICE,Sepia,PELLET
